#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	p_lp36	NZ_CP019763.1	CP019763	36.78	26.9467	31	-	-	-	42	11
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	p_lp38	NZ_CP019764.1	CP019764	38.834	26.0545	31	-	-	-	37	6
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	p_lp54	NZ_CP019765.1	CP019765	53.65	28.1305	64	-	-	-	65	1
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	p_lp56	NZ_CP019766.1	CP019766	52.951	27.2875	57	-	-	-	71	14
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp26	NZ_CP017202.1	CP017202	26.506	26.2356	26	-	-	-	26	-
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp32_1	NZ_CP017203.1	CP017203	29.892	29.1148	41	-	-	-	41	-
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp32_10	NZ_CP017204.1	CP017204	30.192	29.1932	41	-	-	-	42	1
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp32_11	NZ_CP017205.1	CP017205	30.176	29.1457	41	-	-	-	41	-
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp32_4	NZ_CP017206.1	CP017206	30.617	29.0949	42	-	-	-	42	-
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp32_5	NZ_CP017207.1	CP017207	18.34	27.6663	19	-	-	-	28	9
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp32_6	NZ_CP017208.1	CP017208	30.017	29.3867	38	-	-	-	41	3
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp32_7	NZ_CP017209.1	CP017209	30.054	29.1309	40	-	-	-	42	2
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_cp9	NZ_CP017210.1	CP017210	8.714	23.8237	9	-	-	-	9	-
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp17	NZ_CP017211.1	CP017211	15.594	23.1628	12	-	-	-	17	5
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp25	NZ_CP017212.1	CP017212	24.723	23.2092	13	-	-	-	21	8
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp28_3	NZ_CP017213.1	CP017213	27.643	25.1022	20	-	-	-	23	3
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp28_5	NZ_CP017214.1	CP017214	23.104	24.4503	14	-	-	-	25	11
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp28_6	NZ_CP017215.1	CP017215	29.289	31.773	32	-	-	-	33	1
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp36	NZ_CP017216.1	CP017216	30.21	25.5214	23	-	-	-	36	13
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp38	NZ_CP017217.1	CP017217	38.925	26.0321	25	-	-	-	40	15
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp54	NZ_CP017218.1	CP017218	53.759	28.1218	64	-	-	-	65	1
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	B331_lp56	NZ_CP017219.1	CP017219	27.681	31.8233	30	-	-	-	33	3
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_lp54	NZ_CP031397.1	CP031397	53.798	28.12	64	-	-	-	66	2
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_cp26	NZ_CP031398.1	CP031398	26.507	26.3213	26	-	-	-	26	-
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_cp9	NZ_CP031399.1	CP031399	11.401	24.3049	11	-	-	-	12	1
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_lp17	NZ_CP031400.1	CP031400	14.437	23.6961	12	-	-	-	17	5
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_lp25	NZ_CP031401.1	CP031401	24.154	25.4078	14	-	-	-	21	7
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_lp28-3	NZ_CP031402.1	CP031402	26.768	24.9776	23	-	-	-	26	3
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_lp28-4	NZ_CP031403.1	CP031403	27.467	24.5167	21	-	-	-	30	9
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_lp36	NZ_CP031404.1	CP031404	27.951	25.5053	22	-	-	-	31	9
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_cp32-6	NZ_CP031405.1	CP031405	19.997	27.6641	23	-	-	-	27	4
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_cp32-9	NZ_CP031406.1	CP031406	30.606	29.0825	35	-	-	-	43	8
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_cp32-7	NZ_CP031407.1	CP031407	14.018	26.3233	17	-	-	-	20	3
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_cp32-1	NZ_CP031408.1	CP031408	30.883	29.2977	34	-	-	-	44	10
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_lp28-8	NZ_CP031409.1	CP031409	28.515	33.1475	15	-	-	-	23	8
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_cp32-4	NZ_CP031410.1	CP031410	13.328	26.7782	15	-	-	-	19	4
Borreliella burgdorferi	Bacteria	Spirochaetes	Spirochaetia	plsm_cp32-5	NZ_CP031411.1	CP031411	21.898	28.5049	24	-	-	-	30	6
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp32-3	NC_012229.1	CP001530	17.205	30.0436	14	-	-	-	29	15
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp38	NC_012232.1	CP001539	27.759	25.4404	19	-	-	-	27	8
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp28-6	NC_012233.1	CP001531	29.233	31.8065	31	-	-	-	33	2
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp28-3	NC_012236.1	CP001540	28.746	25.1165	26	-	-	-	30	4
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp25	NC_012238.1	CP001532	24.765	25.4512	17	-	-	-	22	5
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp28-4	NC_012240.1	CP001541	29.802	24.6024	23	-	-	-	35	12
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp54	NC_012241.1	CP001542	54.027	28.1526	65	-	-	-	66	1
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp17	NC_012243.1	CP001527	18.209	23.7575	18	-	-	-	22	4
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp36	NC_012245.1	CP001537	27.241	25.4286	24	-	-	-	35	11
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_lp28-5	NC_012248.1	CP001529	27.336	25.3475	18	-	-	-	22	4
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp32-8	NC_012251.1	CP001525	30.858	29.2274	42	-	-	-	42	-
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp32-7-9	NC_012253.1	CP001526	60.942	28.9406	83	-	-	-	85	2
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp9	NC_012256.1	CP001533	8.692	24.1026	9	-	-	-	9	-
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp32-10	NC_012257.1	CP001534	30.341	29.3431	39	-	-	-	42	3
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp26	NC_012261.1	CP001535	26.526	26.3138	26	-	-	-	26	-
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp32-5	NC_012262.1	CP001536	17.07	27.1295	21	-	-	-	24	3
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp32-13	NC_012264.1	CP001543	30.117	29.2227	41	-	-	-	41	-
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp32-6	NC_012266.1	CP001528	30.611	29.3881	43	-	-	-	44	1
Borreliella burgdorferi 118a	Bacteria	Spirochaetes	Spirochaetia	118a_cp32-4	NC_012268.1	CP001538	30.171	28.9881	41	-	-	-	42	1
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp32-12	NC_011841.1	CP001266	30.652	29.538	38	-	-	-	43	4
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp32-6	NC_011843.1	CP001259	30.293	29.142	41	-	-	-	41	-
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp32-7	NC_011845.1	CP001268	21.329	28.848	27	-	-	-	30	3
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp32-1	NC_011846.1	CP001261	14.883	26.5739	16	-	-	-	18	2
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp32-8	NC_011847.1	CP001269	30.946	29.0377	42	-	-	-	43	-
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp32-4	NC_011849.1	CP001263	30.3	29.2508	41	-	-	-	42	1
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp32-11	NC_011850.1	CP001270	30.439	29.0318	41	-	-	-	42	1
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp32-3	NC_011851.1	CP001264	30.28	28.821	42	-	-	-	42	-
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_cp26	NC_011853.1	CP001271	26.522	26.2386	27	-	-	-	27	-
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp28-4	NC_011862.1	CP001272	29.501	24.5517	25	-	-	-	34	10
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp25	NC_011863.1	CP001265	24.91	25.4155	16	-	-	-	21	6
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp28-1	NC_011864.1	CP001273	24.159	33.1802	15	-	-	-	25	8
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp17	NC_011865.1	CP001258	17.849	23.9565	13	-	-	-	18	5
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp28-5	NC_011866.1	CP001274	27.342	25.342	18	-	-	-	24	4
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp38	NC_011868.1	CP001267	30.302	25.2558	23	-	-	-	32	8
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp36	NC_011870.1	CP001260	23.638	25.4336	21	-	-	-	29	8
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp28-6	NC_011872.1	CP001262	26.705	32.376	30	-	-	-	32	2
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp28-3	NC_011874.1	CP001256	28.77	25.0434	22	-	-	-	27	5
Borreliella burgdorferi 156a	Bacteria	Spirochaetes	Spirochaetia	156a_lp54	NC_011876.1	CP001257	53.885	28.1414	64	-	-	-	66	2
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp54	NC_013128.1	CP001653	48.22	28.2601	58	-	-	-	59	1
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-12	NC_018979.1	CP002255	30.795	29.2742	42	-	-	-	42	-
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-7	NC_018980.1	CP002257	21.165	28.8212	25	-	-	-	29	4
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-5	NC_018981.1	CP002261	30.636	29.2499	42	-	-	-	42	-
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-9	NC_018982.1	CP002262	21.172	28.2779	24	-	-	-	29	5
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp26	NC_018983.1	CP002268	26.514	26.2013	26	-	-	-	26	-
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-4	NC_018984.1	CP002270	30.301	29.1938	41	-	-	-	42	1
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp36	NC_018986.1	CP002256	22.715	25.6527	18	-	-	-	21	3
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp28-6	NC_018987.1	CP002259	22.135	33.0066	24	-	-	-	24	-
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp28-1	NC_018988.1	CP002265	20.978	30.6845	10	-	-	-	12	2
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp28-5	NC_018989.1	CP002267	20.974	24.3063	13	-	-	-	14	1
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp28-3	NC_018990.1	CP002253	25.211	24.9653	17	-	-	-	18	1
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp38	NC_018991.1	CP002258	27.035	25.3782	26	-	-	-	27	1
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp17	NC_018992.1	CP002264	12.965	24.1111	10	-	-	-	11	1
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_lp28-4	NC_018993.1	CP002266	25.788	24.461	19	-	-	-	21	2
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-1	NC_019003.1	CP002254	30.902	29.202	42	-	-	-	42	-
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-11	NC_019004.1	CP002260	30.286	28.8549	42	-	-	-	42	-
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-6	NC_019005.1	CP002263	30.641	29.1244	42	-	-	-	42	-
Borreliella burgdorferi 297	Bacteria	Spirochaetes	Spirochaetia	297_cp32-3	NC_019006.1	CP002269	30.262	28.8415	42	-	-	-	42	-
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp28-6	NC_012495.1	CP001555	30.159	31.8446	31	-	-	-	33	2
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp36	NC_012498.1	CP001557	34.551	30.222	12	-	-	-	23	11
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp17	NC_012500.1	CP001551	17.032	22.9392	15	-	-	-	21	6
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp28-4	NC_012501.1	CP001552	29.469	24.5241	24	-	-	-	35	11
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp28-2	NC_012502.1	CP001559	29.87	31.6237	33	-	-	-	36	3
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp25	NC_012503.1	CP001553	24.093	23.3387	15	-	-	-	22	7
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp54	NC_012505.1	CP001554	53.849	28.1082	65	-	-	-	66	1
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp28-3	NC_012507.1	CP001547	31.052	25.1578	20	-	-	-	28	8
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_lp38	NC_012508.1	CP001548	38.696	26.1293	27	-	-	-	40	13
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_cp32-9	NC_012510.1	CP001549	30.414	29.1017	37	-	-	-	43	6
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_cp32-4	NC_012511.1	CP001556	30.617	29.0949	42	-	-	-	42	-
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_cp26	NC_012513.1	CP001550	26.537	26.333	26	-	-	-	26	-
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_cp32-7	NC_012514.1	CP001558	29.694	29.245	42	-	-	-	42	-
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_cp32-12	NC_012516.1	CP001545	27.704	28.1187	38	-	-	-	38	-
Borreliella burgdorferi 29805	Bacteria	Spirochaetes	Spirochaetia	29805_cp32-5	NC_012517.1	CP001546	22.534	28.3705	24	-	-	-	30	6
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp26	NC_012104.1	CP001422	26.525	26.2846	26	-	-	-	26	-
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp32-4	NC_012105.1	CP001411	30.375	29.3893	38	-	-	-	43	5
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp32-3-8	NC_012106.1	CP001418	61.062	29.0786	86	-	-	-	86	-
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp32-9	NC_012107.1	CP001424	22.471	28.5613	23	-	-	-	30	7
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp32-1	NC_012110.1	CP001414	30.327	29.1423	41	-	-	-	41	-
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp32-5	NC_012111.1	CP001415	30.884	29.1737	42	-	-	-	42	-
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp32-11	NC_012112.1	CP001426	30.26	29.0152	43	-	-	-	43	-
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp32-7	NC_012113.1	CP001416	29.673	29.2657	43	-	-	-	43	-
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_cp32-6	NC_012114.1	CP001427	30.755	29.088	42	-	-	-	42	-
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp28-3	NC_012163.1	CP001417	28.645	24.9921	24	-	-	-	29	5
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp28-4	NC_012165.1	CP001428	26.992	24.8777	20	-	-	-	25	5
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp28-1	NC_012168.1	CP001423	30.663	34.7846	15	-	-	-	33	18
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp28-5	NC_012174.1	CP001412	26.776	25.3287	18	-	-	-	21	3
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp17	NC_012179.1	CP001413	16.6	22.8494	16	-	-	-	21	5
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp38	NC_012182.1	CP001419	39.007	25.9466	32	-	-	-	39	7
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp36	NC_012184.1	CP001425	36.826	26.9076	27	-	-	-	39	12
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp28-2	NC_012196.1	CP001420	28.984	31.8624	31	-	-	-	33	2
Borreliella burgdorferi 64b	Bacteria	Spirochaetes	Spirochaetia	64b_lp54	NC_012199.1	CP001421	53.263	28.1772	63	-	-	-	66	3
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_cp32-13	NC_011965.1	CP001371	30.117	29.2227	41	-	-	-	41	-
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_lp32-3	NC_011966.1	CP001378	12.87	26.3092	10	-	-	-	22	12
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_cp32-10	NC_011967.1	CP001379	30.324	29.3365	39	-	-	-	42	3
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_cp32-12	NC_011968.1	CP001372	27.704	28.1187	38	-	-	-	38	-
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_cp32-7	NC_011970.1	CP001373	30.101	29.0655	42	-	-	-	43	1
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_cp32-1	NC_011972.1	CP001381	30.016	29.0578	43	-	-	-	43	-
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_cp26	NC_011974.1	CP001375	26.522	26.3743	26	-	-	-	26	-
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_cp32-5	NC_011975.1	CP001376	17.016	27.145	22	-	-	-	24	2
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_lp28-4	NC_012172.1	CP001380	29.63	24.5663	24	-	-	-	35	11
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_lp36	NC_012186.1	CP001374	28.128	25.5048	22	-	-	-	32	10
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_lp17	NC_012191.1	CP001382	18.115	23.8697	16	-	-	-	22	6
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_lp54	NC_012193.1	CP001370	53.686	28.1284	65	-	-	-	66	1
Borreliella burgdorferi 72a	Bacteria	Spirochaetes	Spirochaetia	72a_lp38	NC_012201.1	CP001377	27.763	25.4151	18	-	-	-	27	9
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_lp28-3	NC_012231.1	CP001502	26.181	25.19	22	-	-	-	26	4
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_lp28-4	NC_012235.1	CP001490	28.038	24.449	21	-	-	-	31	10
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_lp17	NC_012237.1	CP001497	18.11	23.926	16	-	-	-	24	8
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_lp54	NC_012244.1	CP001500	53.756	28.1494	65	-	-	-	66	1
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_lp36	NC_012246.1	CP001494	28.234	25.4941	22	-	-	-	32	10
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_lp56	NC_012249.1	CP001495	21.082	24.9312	14	-	-	-	23	9
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_cp32-5	NC_012250.1	CP001496	29.459	29.261	38	-	-	-	41	3
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_cp32-11	NC_012254.1	CP001491	30.648	29.2776	42	-	-	-	42	-
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_cp32-10	NC_012255.1	CP001498	30.162	29.378	39	-	-	-	42	3
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_cp32-7	NC_012258.1	CP001492	30.433	28.9883	42	-	-	-	43	1
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_cp32-6	NC_012259.1	CP001499	30.816	29.0531	39	-	-	-	43	4
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_cp26	NC_012263.1	CP001493	26.507	26.3176	26	-	-	-	26	-
Borreliella burgdorferi 94a	Bacteria	Spirochaetes	Spirochaetia	94a_cp9	NC_012269.1	CP001501	8.696	23.7006	9	-	-	-	9	-
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp32-1	NC_000948.1	AE001575	30.75	29.3626	41	-	-	-	42	1
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp32-3	NC_000949.1	AE001576	30.223	28.8522	39	-	-	-	42	3
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp32-4	NC_000950.1	AE001577	30.299	29.2914	40	-	-	-	42	2
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp32-6	NC_000951.1	AE001578	29.838	29.3384	40	-	-	-	41	1
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp32-7	NC_000952.1	AE001579	30.8	29.0747	44	-	-	-	44	-
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp32-8	NC_000953.1	AE001580	30.885	29.1339	40	-	-	-	42	2
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp32-9	NC_000954.1	AE001581	30.651	29.3204	32	-	-	-	42	8
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp21	NC_000955.2	AE001582	18.777	20.6476	10	-	-	-	11	1
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp56	NC_000956.1	AE001584	52.971	27.2885	50	-	-	-	67	17
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp5	NC_000957.1	AE001583	5.228	23.8332	6	-	-	-	6	-
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp17	NC_001849.2	AE000793	16.821	23.1199	14	-	-	-	19	5
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp25	NC_001850.1	AE000785	24.177	23.3569	9	-	-	-	16	6
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp28-1	NC_001851.2	AE000794	28.155	32.7473	16	-	-	-	33	17
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp28-2	NC_001852.1	AE000786	29.766	31.6435	29	-	-	-	33	3
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp28-3	NC_001853.1	AE000784	28.601	25.0411	19	-	-	-	28	9
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp28-4	NC_001854.1	AE000789	27.323	24.5251	19	-	-	-	25	6
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp36	NC_001855.1	AE000788	36.849	26.9288	28	-	-	-	37	9
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp38	NC_001856.1	AE000787	38.829	26.0707	28	-	-	-	36	7
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	lp54	NC_001857.2	AE000790	53.657	28.138	55	-	-	-	65	10
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp26	NC_001903.1	AE000792	26.498	26.3001	24	-	-	-	26	2
Borreliella burgdorferi B31	Bacteria	Spirochaetes	Spirochaetia	cp9	NC_001904.1	AE000791	9.386	23.6949	11	-	-	-	11	-
Borreliella burgdorferi Bol26	Bacteria	Spirochaetes	Spirochaetia	Bol26_lp28-9	NC_012494.1	CP001566	28.2	31.9007	32	-	-	-	32	-
Borreliella burgdorferi Bol26	Bacteria	Spirochaetes	Spirochaetia	Bol26_lp36	NC_012496.1	CP001567	36.936	26.9141	25	-	-	-	39	14
Borreliella burgdorferi Bol26	Bacteria	Spirochaetes	Spirochaetia	Bol26_lp28-3	NC_012497.1	CP001573	17.941	33.6492	10	-	-	-	14	4
